L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,Label,Attack
40894,22,6,92.0,3164,23,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3164.0,3765.0,0,0,0,0,25312000,30120000,33,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
29622,3389,6,0.0,1919,14,2031,11,223,219,30,0,0,0,101,101,1195,40,40,1195,1919.0,2031.0,0,0,0,0,15352000,16248000,17,6,0,1,1,8192,64000,0,0,0,0,0,0,0,Benign
65456,53,17,0.0,116,2,148,2,0,0,0,0,0,0,128,128,74,58,58,74,116.0,148.0,0,0,0,0,928000,1184000,4,0,0,0,0,0,0,0,0,2511,1,5,0,0,Benign
57918,53,17,0.0,70,1,130,1,0,0,0,0,0,0,0,0,130,70,70,130,70.0,130.0,0,0,0,0,560000,1040000,1,1,0,0,0,0,0,0,0,3371,1,60,0,0,Benign
63269,80,6,7.0,232,5,1136,4,223,222,27,4294827,140,0,127,127,1004,40,40,1004,232.0,1136.0,0,0,0,0,8000,9088000,8,0,0,1,0,8192,26883,0,0,0,0,0,0,1,DDoS attacks-LOIC-HTTP
51677,443,6,0.0,3988,41,3169,40,223,223,30,0,0,0,128,128,671,40,40,671,3988.0,3169.0,1148,28,0,0,31904000,25352000,73,1,3,4,0,8192,29200,31744,124,0,0,0,0,0,Benign
49190,53,17,0.0,68,1,106,1,0,0,0,0,0,0,0,0,106,68,68,106,68.0,106.0,0,0,0,0,544000,848000,2,0,0,0,0,0,0,0,0,45692,1,60,0,0,Benign
51812,53,17,5.178,105,1,233,1,0,0,0,0,0,0,0,0,233,105,105,233,105.0,233.0,0,0,0,0,840000,1864000,1,1,0,0,0,0,0,0,0,5951,1,60,0,0,Benign
54574,80,6,7.0,522,5,1147,5,219,219,27,4294963,3,3,127,127,975,40,40,975,522.0,1147.0,0,0,0,0,1040000,2288000,8,0,1,1,0,65535,26883,0,0,0,0,0,0,1,DDOS attack-HOIC
57771,53,17,5.126,72,1,100,1,0,0,0,0,0,0,0,0,100,72,72,100,72.0,100.0,0,0,0,0,576000,800000,2,0,0,0,0,0,0,0,0,54522,28,60,0,0,Benign
8183,3389,6,0.0,1955,14,764,9,223,219,94,4294951,0,16,100,100,718,40,40,718,1955.0,764.0,0,0,0,0,15640000,352000,19,1,2,1,0,8192,64000,0,0,0,0,0,0,0,Benign
54015,53,17,5.126,60,1,88,1,0,0,0,0,0,0,0,0,88,60,60,88,60.0,88.0,0,0,0,0,480000,704000,2,0,0,0,0,0,0,0,0,17954,28,60,0,0,Benign
52744,53,17,0.0,130,2,286,2,0,0,0,0,0,0,128,128,143,65,65,143,130.0,286.0,0,0,0,0,1040000,2288000,2,2,0,0,0,0,0,0,0,45666,28,60,0,0,Benign
53436,53,17,0.0,60,1,76,1,0,0,0,0,0,0,0,0,76,60,60,76,60.0,76.0,0,0,0,0,480000,608000,2,0,0,0,0,0,0,0,0,24665,1,60,0,0,Benign
55217,53,17,0.0,120,2,320,2,0,0,0,0,0,0,128,128,160,60,60,160,120.0,320.0,0,0,0,0,960000,2560000,2,2,0,0,0,0,0,0,0,8825,1,60,0,0,Benign
50235,3389,6,0.0,1964,14,764,9,223,219,94,0,0,0,101,101,724,40,40,724,1964.0,764.0,0,0,0,0,15712000,6112000,19,1,2,1,0,8192,64000,0,0,0,0,0,0,0,Benign
52814,443,6,91.178,2128,15,6229,15,219,219,27,0,0,0,128,128,1500,40,40,1500,2128.0,6229.0,205,5,0,0,17024000,49832000,22,2,1,0,5,64240,31995,52480,205,0,0,0,0,0,Benign
49932,80,6,7.0,647,5,1071,5,27,27,27,0,0,0,128,128,899,40,40,899,647.0,1071.0,0,0,0,0,5176000,8568000,8,0,1,1,0,8192,14600,0,0,0,0,0,0,0,Benign
44500,80,6,7.0,3326,15,160,3,30,26,22,0,0,0,63,63,282,40,40,282,3326.0,160.0,2820,10,0,0,26608000,1280000,7,0,11,0,0,26883,26847,1024,4,0,0,0,0,1,DoS attacks-Slowloris
58022,32400,6,0.0,40,1,0,0,2,2,0,0,0,0,0,0,40,40,0,40,40.0,0.0,0,0,0,0,320000,0,1,0,0,0,0,41939,0,0,0,0,0,0,0,0,Benign
35602,2008,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
52603,53,17,5.119,66,1,114,1,0,0,0,0,0,0,0,0,114,66,66,114,66.0,114.0,0,0,0,0,528000,912000,2,0,0,0,0,0,0,0,0,12334,1,30,0,0,Benign
55955,53,17,0.0,118,2,150,2,0,0,0,0,0,0,128,128,75,59,59,75,118.0,150.0,0,0,0,0,944000,1200000,4,0,0,0,0,0,0,0,0,61070,1,60,0,0,Benign
60954,53,17,0.0,63,1,111,1,0,0,0,0,0,0,128,128,111,63,63,111,126.0,222.0,0,0,0,0,56000,152000,4,0,0,0,0,0,0,0,0,2302,1,60,0,0,Benign
59359,53,17,0.0,67,1,99,1,0,0,0,0,0,0,0,0,99,67,67,99,67.0,99.0,0,0,0,0,536000,792000,2,0,0,0,0,0,0,0,0,63728,1,59,0,0,Benign
62851,53,17,0.0,68,1,167,1,0,0,0,0,0,0,0,0,167,68,68,167,68.0,167.0,0,0,0,0,544000,1336000,1,1,0,0,0,0,0,0,0,43354,1,19,0,0,Benign
50822,80,6,7.126,172,4,92,2,19,19,19,0,0,0,128,128,52,40,40,52,172.0,92.0,0,0,0,0,1376000,736000,6,0,0,0,0,8192,42780,0,0,0,0,0,0,0,Benign
51115,80,6,7.0,647,5,1071,5,27,27,27,0,0,0,128,128,899,40,40,899,647.0,1071.0,0,0,0,0,5176000,8568000,8,0,1,1,0,8192,14600,0,0,0,0,0,0,0,Benign
59883,3389,6,88.0,1092,5,589,5,28,28,24,0,0,0,104,104,701,40,40,701,1092.0,589.0,0,0,0,0,8736000,4712000,7,1,1,1,0,256,63614,0,0,0,0,0,0,0,Benign
63929,53,17,0.0,75,1,135,1,0,0,0,0,0,0,0,0,135,75,75,135,75.0,135.0,0,0,0,0,600000,1080000,1,1,0,0,0,0,0,0,0,50315,1,51,0,0,Benign
62833,53,17,5.178,67,1,104,1,0,0,0,0,0,0,0,0,104,67,67,104,67.0,104.0,0,0,0,0,536000,832000,2,0,0,0,0,0,0,0,0,42361,1,60,0,0,Benign
57661,53,17,0.0,64,1,125,1,0,0,0,0,0,0,0,0,125,64,64,125,64.0,125.0,0,0,0,0,512000,1000000,2,0,0,0,0,0,0,0,0,42626,28,60,0,0,Benign
65394,53,17,5.126,72,1,100,1,0,0,0,0,0,0,128,128,100,72,72,100,144.0,100.0,0,0,0,0,1152000,800000,3,0,0,0,0,0,0,0,0,58134,28,60,0,0,Benign
51463,53,17,5.126,71,1,87,1,0,0,0,0,0,0,128,128,87,71,71,87,142.0,174.0,0,0,0,0,1136000,1040000,4,0,0,0,0,0,0,0,0,59184,1,60,0,0,Benign
61552,3389,6,0.0,1460,8,1869,7,30,30,26,0,0,0,105,105,1213,40,40,1213,1460.0,1869.0,0,0,0,0,11680000,14952000,10,2,1,1,1,65280,64000,0,0,0,0,0,0,0,Benign
55634,53,17,5.233,62,1,107,1,0,0,0,0,0,0,0,0,107,62,62,107,62.0,107.0,0,0,0,0,496000,856000,2,0,0,0,0,0,0,0,0,61075,1,60,0,0,Benign
59041,53,17,0.0,53,1,69,1,0,0,0,0,0,0,0,0,69,53,53,69,53.0,69.0,0,0,0,0,424000,552000,2,0,0,0,0,0,0,0,0,6289,1,60,0,0,Benign
50441,53,17,5.126,71,1,130,1,0,0,0,0,0,0,0,0,130,71,71,130,71.0,130.0,0,0,0,0,568000,1040000,1,1,0,0,0,0,0,0,0,31803,1,60,0,0,Benign
50813,445,6,41.0,132,3,132,3,23,19,22,0,0,0,104,104,52,40,40,52,132.0,132.0,0,0,0,0,1056000,1056000,6,0,0,0,0,16425,8192,0,0,0,0,0,0,0,Benign
24609,3389,6,0.0,1464,8,1873,7,222,222,90,0,0,0,101,101,1213,40,40,1213,1464.0,1873.0,0,0,0,0,11712000,14984000,10,2,1,1,1,8192,64000,0,0,0,0,0,0,0,Benign
50056,80,6,7.0,1141,17,1532,15,27,27,27,0,0,0,128,128,828,40,40,828,1141.0,1532.0,451,11,0,0,9128000,12256000,30,0,1,1,0,8192,65535,49920,195,0,0,0,0,0,Benign
55796,80,17,0.0,407880,6798,0,0,0,0,0,4294686,281,0,127,127,60,60,0,60,168960238920.0,0.0,0,0,0,0,12944000,0,6798,0,0,0,0,0,0,0,0,0,0,0,0,1,DDoS attacks-LOIC-HTTP
35315,23,6,77.0,40,1,0,0,2,2,0,0,0,0,0,0,40,40,0,40,40.0,0.0,0,0,0,0,320000,0,1,0,0,0,0,43479,0,0,0,0,0,0,0,0,Benign
54605,53,17,5.126,79,1,107,1,0,0,0,0,0,0,0,0,107,79,79,107,79.0,107.0,0,0,0,0,632000,856000,2,0,0,0,0,0,0,0,0,37455,28,60,0,0,Benign
63590,53,17,5.126,63,1,91,1,0,0,0,0,0,0,0,0,91,63,63,91,63.0,91.0,0,0,0,0,504000,728000,2,0,0,0,0,0,0,0,0,61125,28,30,0,0,Benign
55794,53,17,0.0,72,1,153,1,0,0,0,0,0,0,0,0,153,72,72,153,72.0,153.0,0,0,0,0,576000,1224000,1,1,0,0,0,0,0,0,0,59753,28,60,0,0,Benign
12957,445,6,0.0,656,7,875,7,31,27,30,0,0,0,105,105,449,40,40,449,656.0,875.0,0,0,0,0,5248000,7000000,10,3,1,0,0,8192,8192,0,0,0,0,0,0,0,Benign
49519,53,17,0.0,55,1,130,1,0,0,0,0,0,0,128,128,130,55,55,130,110.0,130.0,0,0,0,0,880000,1040000,2,1,0,0,0,0,0,0,0,8209,1,60,0,0,Benign
51662,53,17,0.0,72,1,88,1,0,0,0,0,0,0,0,0,88,72,72,88,72.0,88.0,0,0,0,0,576000,704000,2,0,0,0,0,0,0,0,0,33242,1,60,0,0,Benign
50620,443,6,91.126,2956,28,7211,27,219,219,27,0,0,0,128,128,1470,40,40,1470,2956.0,7211.0,0,0,0,0,23648000,57688000,43,4,2,3,3,8192,42780,0,0,0,0,0,0,0,Benign
64359,53,17,0.0,70,1,86,1,0,0,0,0,0,0,0,0,86,70,70,86,70.0,86.0,0,0,0,0,560000,688000,2,0,0,0,0,0,0,0,0,30349,1,15,0,0,Benign
53940,443,6,91.126,1371,17,3724,13,219,219,27,4294951,16,16,128,128,1470,40,40,1470,1371.0,3724.0,0,0,0,0,640000,1752000,24,3,1,0,2,8192,42780,0,0,0,0,0,0,0,Benign
39898,80,6,7.0,3192,27,6015,25,27,27,27,4294655,312,312,63,63,987,52,52,987,3192.0,6015.0,0,0,0,0,80000,152000,42,0,5,5,0,26883,26847,0,0,0,0,0,0,1,DoS attacks-Hulk
60573,445,6,0.0,498,5,422,6,30,26,30,0,0,0,101,101,171,40,40,171,498.0,422.0,0,0,0,0,3984000,3376000,8,3,0,0,0,16473,8192,0,0,0,0,0,0,0,Benign
63397,53,17,0.0,66,1,142,1,0,0,0,0,0,0,128,128,142,66,66,142,132.0,142.0,0,0,0,0,1056000,1136000,2,1,0,0,0,0,0,0,0,34288,28,60,0,0,Benign
50469,443,6,0.0,2932,18,16654,19,219,219,27,0,0,0,128,128,1500,40,40,1500,2932.0,16654.0,0,0,0,0,23456000,133232000,19,1,2,5,10,8192,29200,0,0,0,0,0,0,0,Benign
35553,22,6,92.0,40,1,0,0,2,2,0,0,0,0,0,0,40,40,0,40,40.0,0.0,0,0,0,0,320000,0,1,0,0,0,0,8363,0,0,0,0,0,0,0,0,Benign
50578,80,6,7.0,2663,23,8884,22,27,27,27,0,0,0,128,128,1500,40,40,1500,2663.0,8884.0,451,11,0,0,21304000,71072000,33,0,4,4,4,8192,29200,49920,195,0,0,0,0,0,Benign
42023,25,6,3.0,40,1,0,0,2,2,0,0,0,0,0,0,40,40,0,40,40.0,0.0,0,0,0,0,320000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
52179,443,6,91.126,1978,19,5612,18,219,219,27,4294951,16,16,128,128,1470,40,40,1470,1978.0,5612.0,0,0,0,0,928000,2640000,27,4,1,2,3,8192,42780,0,0,0,0,0,0,0,Benign
50643,3389,6,0.0,1991,13,2143,10,223,219,94,0,0,0,101,101,1219,40,40,1219,1991.0,2143.0,0,0,0,0,15928000,17144000,15,5,1,1,1,8192,64000,0,0,0,0,0,0,0,Benign
62684,53,17,5.178,96,1,178,1,0,0,0,0,0,0,0,0,178,96,96,178,96.0,178.0,0,0,0,0,768000,1424000,1,1,0,0,0,0,0,0,0,44882,28,28,0,0,Benign
59476,53,17,5.126,66,1,82,1,0,0,0,0,0,0,0,0,82,66,66,82,66.0,82.0,0,0,0,0,528000,656000,2,0,0,0,0,0,0,0,0,41544,1,13,0,0,Benign
45358,80,6,7.0,3569,29,5963,24,27,27,27,4294686,281,281,63,63,987,52,52,987,2907662.0,47601203.0,369,1,0,0,120000,208000,42,0,6,5,0,26883,26847,28928,113,0,0,0,0,1,DoS attacks-Hulk
61649,53,17,0.0,81,1,221,1,0,0,0,0,0,0,0,0,221,81,81,221,81.0,221.0,0,0,0,0,648000,1768000,1,1,0,0,0,0,0,0,0,48871,28,60,0,0,Benign
50779,80,6,7.0,526,5,1147,5,219,219,27,4294925,41,41,127,127,975,40,40,975,526.0,1147.0,0,0,0,0,96000,216000,8,0,1,1,0,65535,26883,0,0,0,0,0,0,1,DDOS attack-HOIC
54570,80,6,7.0,172,4,92,2,211,211,19,0,0,0,128,128,52,40,40,52,172.0,92.0,0,0,0,0,1376000,736000,6,0,0,0,0,8192,29200,0,0,0,0,0,0,0,Benign
58284,80,6,7.0,521,5,1147,5,219,219,27,4294768,198,198,127,127,975,40,40,975,521.0,1147.0,0,0,0,0,16000,40000,8,0,1,1,0,65535,26883,0,0,0,0,0,0,1,DDOS attack-HOIC
55842,53,17,5.126,72,1,100,1,0,0,0,0,0,0,128,128,100,72,72,100,144.0,100.0,0,0,0,0,1152000,800000,3,0,0,0,0,0,0,0,0,48321,28,60,0,0,Benign
65332,53,17,0.0,64,1,209,1,0,0,0,0,0,0,128,128,209,64,64,209,128.0,209.0,0,0,0,0,1024000,1672000,2,1,0,0,0,0,0,0,0,22245,1,60,0,0,Benign
49390,53,17,5.12,66,1,108,1,0,0,0,0,0,0,0,0,108,66,66,108,66.0,108.0,0,0,0,0,528000,864000,2,0,0,0,0,0,0,0,0,63453,1,13,0,0,Benign
55795,53,17,0.0,59,1,140,1,0,0,0,0,0,0,0,0,140,59,59,140,59.0,140.0,0,0,0,0,472000,1120000,1,1,0,0,0,0,0,0,0,39160,28,60,0,0,Benign
55689,53,17,0.0,76,1,141,1,0,0,0,0,0,0,0,0,141,76,76,141,76.0,141.0,0,0,0,0,608000,1128000,1,1,0,0,0,0,0,0,0,11528,28,60,0,0,Benign
35732,21,6,1.0,780,13,520,13,22,2,20,4294763,204,204,63,63,60,40,40,60,780.0,520.0,0,0,0,0,24000,16000,26,0,0,0,0,26883,0,0,0,0,0,0,0,1,FTP-BruteForce
62020,53,17,5.126,71,1,130,1,0,0,0,0,0,0,0,0,130,71,71,130,71.0,130.0,0,0,0,0,568000,1040000,1,1,0,0,0,0,0,0,0,64113,1,60,0,0,Benign
50372,53,17,0.0,58,1,160,1,0,0,0,0,0,0,0,0,160,58,58,160,58.0,160.0,0,0,0,0,464000,1280000,1,1,0,0,0,0,0,0,0,35275,1,60,0,0,Benign
65201,3389,6,0.0,1680,13,1873,7,222,222,90,0,0,0,103,103,1213,40,40,1213,1680.0,1873.0,0,0,0,0,13440000,14984000,15,2,1,1,1,8192,64000,0,0,0,0,0,0,0,Benign
54211,53,17,5.24,74,1,159,1,0,0,0,0,0,0,128,128,159,74,74,159,148.0,159.0,0,0,0,0,1184000,1272000,2,1,0,0,0,0,0,0,0,65156,28,60,0,0,Benign
63204,53,17,0.0,70,1,131,1,0,0,0,0,0,0,0,0,131,70,70,131,70.0,131.0,0,0,0,0,560000,1048000,1,1,0,0,0,0,0,0,0,34088,28,25,0,0,Benign
50641,443,6,91.126,1815,17,6036,15,222,222,26,0,0,0,128,128,1470,40,40,1470,1815.0,6036.0,0,0,0,0,14520000,48288000,23,2,3,1,3,8192,42780,0,0,0,0,0,0,0,Benign
57862,3389,6,0.0,2136,11,1936,11,222,222,26,0,0,0,106,106,1189,40,40,1189,2136.0,1936.0,704,2,59,1,17088000,15488000,16,3,0,2,1,8192,64000,49152,192,0,0,0,0,0,Benign
65211,3389,6,0.0,1384,8,1721,7,222,222,26,0,0,0,100,100,1189,40,40,1189,1384.0,1721.0,0,0,0,0,11072000,13768000,10,3,0,1,1,8192,64000,0,0,0,0,0,0,0,Benign
9310,3389,6,0.0,1872,10,2303,14,223,219,94,0,0,0,102,102,1219,40,40,1219,1872.0,2303.0,0,0,0,0,14976000,18424000,16,5,1,1,1,8192,64000,0,0,0,0,0,0,0,Benign
64715,53,17,0.0,69,1,85,1,0,0,0,0,0,0,0,0,85,69,69,85,69.0,85.0,0,0,0,0,552000,680000,2,0,0,0,0,0,0,0,0,47843,1,20,0,0,Benign
58073,3389,6,0.0,1500,9,1873,7,222,222,90,0,0,0,111,111,1213,40,40,1213,1500.0,1873.0,0,0,0,0,12000000,14984000,11,2,1,1,1,8192,64000,0,0,0,0,0,0,0,Benign
63929,53,17,5.126,63,1,79,1,0,0,0,0,0,0,0,0,79,63,63,79,63.0,79.0,0,0,0,0,504000,632000,2,0,0,0,0,0,0,0,0,36859,1,60,0,0,Benign
49636,443,6,91.119,5130,58,127180,103,30,30,26,0,0,0,128,128,1450,40,40,1450,5130.0,127180.0,0,0,0,0,41040000,1017440000,63,4,4,4,86,8192,28200,0,0,0,0,0,0,0,Benign
44820,22,6,92.0,21940,161,26823,156,27,27,27,4292983,1984,1984,63,63,1028,52,52,1028,3200633212408.0,3869763415320.0,11040,64,6890,30,136000,168000,240,49,7,14,7,26883,26847,8192,32,0,0,0,0,1,SSH-Bruteforce
54004,443,6,0.0,326,3,131,3,222,218,30,0,0,0,128,128,234,40,40,234,326.0,131.0,0,0,0,0,2608000,1048000,5,1,0,0,0,65170,35300,0,0,0,0,0,0,0,Benign
52877,3389,6,0.0,1918,13,764,9,223,219,94,0,0,0,100,100,720,40,40,720,1918.0,764.0,0,0,0,0,15344000,6112000,18,1,2,1,0,8192,64000,0,0,0,0,0,0,0,Benign
24934,3389,6,0.0,2006,14,2183,11,223,219,30,4294951,0,16,100,100,1219,40,40,1219,2006.0,2183.0,0,0,0,0,16048000,1024000,17,5,1,1,1,8192,64000,0,0,0,0,0,0,0,Benign
52674,80,6,7.126,1135,17,1450,15,219,219,27,0,0,0,128,128,746,40,40,746,1135.0,1450.0,451,11,0,0,9080000,11600000,30,0,1,1,0,8192,42780,49920,195,0,0,0,0,0,Benign
5598,3389,6,0.0,1460,10,2910,8,30,30,26,0,0,0,112,112,1189,40,40,1189,1460.0,2910.0,0,0,1189,1,11680000,23280000,12,3,0,1,2,8192,64000,0,0,0,0,0,0,0,Benign
50545,80,6,7.0,373,5,700,5,219,219,91,0,0,0,128,128,528,40,40,528,373.0,700.0,0,0,0,0,2984000,5600000,8,1,0,1,0,8192,17922,0,0,0,0,0,0,0,Benign
49935,80,6,7.212,1962,6,448,6,219,219,27,0,0,0,128,128,1404,40,40,1404,1962.0,448.0,0,0,0,0,15696000,3584000,9,1,1,0,1,8192,29200,0,0,0,0,0,0,0,Benign
62719,3389,6,0.0,340,6,231,5,223,223,94,0,0,0,107,107,82,40,40,82,340.0,231.0,0,0,0,0,2720000,1848000,11,0,0,0,0,8192,64000,0,0,0,0,0,0,0,Benign
58207,53,17,0.0,64,1,96,1,0,0,0,0,0,0,0,0,96,64,64,96,64.0,96.0,0,0,0,0,512000,768000,2,0,0,0,0,0,0,0,0,62599,1,20,0,0,Benign
54162,53,17,0.0,64,1,160,1,0,0,0,0,0,0,0,0,160,64,64,160,64.0,160.0,0,0,0,0,512000,1280000,1,1,0,0,0,0,0,0,0,21971,1,51,0,0,Benign
63806,80,6,7.0,499,5,1147,5,219,219,27,4294936,30,30,127,127,975,40,40,975,499.0,1147.0,0,0,0,0,128000,296000,8,0,1,1,0,65535,26883,0,0,0,0,0,0,1,DDOS attack-HOIC
50396,80,6,7.0,479,5,1147,5,219,219,27,4294956,10,10,127,127,975,40,40,975,479.0,1147.0,0,0,0,0,344000,832000,8,0,1,1,0,65535,26883,0,0,0,0,0,0,1,DDOS attack-HOIC
59325,80,6,7.0,526,5,1147,5,219,219,27,4294942,25,25,127,127,975,40,40,975,526.0,1147.0,0,0,0,0,160000,352000,8,0,1,1,0,65535,26883,0,0,0,0,0,0,1,DDOS attack-HOIC
52915,80,6,7.0,1151,17,1657,15,219,219,27,0,0,0,128,128,953,40,40,953,1151.0,1657.0,451,11,0,0,9208000,13256000,30,0,1,1,0,8192,29200,49920,195,0,0,0,0,0,Benign
51511,443,6,0.0,1174,11,999,12,219,219,27,0,0,0,128,128,449,40,40,449,1174.0,999.0,41,1,0,0,9392000,7992000,19,1,3,0,0,64240,5101,10496,41,0,0,0,0,0,Benign
51551,445,6,0.0,656,7,874,7,31,27,30,0,0,0,100,100,449,40,40,449,656.0,874.0,0,0,0,0,5248000,6992000,10,3,1,0,0,16698,8192,0,0,0,0,0,0,0,Benign
61412,53,17,0.0,70,1,100,1,0,0,0,0,0,0,0,0,100,70,70,100,70.0,100.0,0,0,0,0,560000,800000,2,0,0,0,0,0,0,0,0,42295,1,60,0,0,Benign
53999,80,6,7.0,649,5,1071,5,219,219,27,0,0,0,128,128,899,40,40,899,649.0,1071.0,0,0,0,0,5192000,8568000,8,0,1,1,0,8192,14600,0,0,0,0,0,0,0,Benign
50188,3389,6,0.0,1476,8,1869,7,30,30,26,0,0,0,104,104,1213,40,40,1213,1476.0,1869.0,0,0,0,0,11808000,14952000,10,2,1,1,1,64240,64000,0,0,0,0,0,0,0,Benign
29509,3389,6,0.0,1460,8,1873,7,222,222,90,0,0,0,102,102,1213,40,40,1213,1460.0,1873.0,0,0,0,0,11680000,14984000,10,2,1,1,1,8192,64000,0,0,0,0,0,0,0,Benign
62040,80,6,7.178,527,5,1147,5,219,219,27,4294814,152,152,127,127,975,40,40,975,527.0,1147.0,0,0,0,0,24000,56000,8,0,1,1,0,65535,26883,0,0,0,0,0,0,1,DDOS attack-HOIC
58997,53,17,5.126,60,1,156,1,0,0,0,0,0,0,128,128,156,60,60,156,120.0,312.0,0,0,0,0,960000,1872000,2,2,0,0,0,0,0,0,0,29073,1,60,0,0,Benign
62941,80,6,7.0,232,5,1136,4,223,222,27,4294951,16,0,127,127,1004,40,40,1004,232.0,1136.0,0,0,0,0,104000,9088000,8,0,0,1,0,8192,26883,0,0,0,0,0,0,1,DDoS attacks-LOIC-HTTP
17258,3389,6,0.0,1879,13,1991,10,223,219,30,0,0,0,100,100,1195,40,40,1195,1879.0,1991.0,0,0,0,0,15032000,15928000,15,6,0,1,1,8192,64000,0,0,0,0,0,0,0,Benign
54791,53,17,0.0,69,1,148,1,0,0,0,0,0,0,0,0,148,69,69,148,69.0,148.0,0,0,0,0,552000,1184000,1,1,0,0,0,0,0,0,0,53111,1,60,0,0,Benign
17084,3389,6,0.0,3876,27,1528,18,223,219,94,4294951,0,16,101,101,720,40,40,720,3876.0,1528.0,0,0,0,0,31008000,712000,37,2,4,2,0,8192,64000,0,0,0,0,0,0,0,Benign
62887,53,17,0.0,70,1,86,1,0,0,0,0,0,0,0,0,86,70,70,86,70.0,86.0,0,0,0,0,560000,688000,2,0,0,0,0,0,0,0,0,58843,1,7,0,0,Benign
63182,53,17,5.126,71,1,87,1,0,0,0,0,0,0,0,0,87,71,71,87,71.0,87.0,0,0,0,0,568000,696000,2,0,0,0,0,0,0,0,0,8052,1,60,0,0,Benign
54674,53,17,0.0,64,1,192,1,0,0,0,0,0,0,0,0,192,64,64,192,64.0,192.0,0,0,0,0,512000,1536000,1,1,0,0,0,0,0,0,0,30296,1,27,0,0,Benign
62387,53,17,0.0,75,1,160,1,0,0,0,0,0,0,0,0,160,75,75,160,75.0,160.0,0,0,0,0,600000,1280000,1,1,0,0,0,0,0,0,0,47821,28,60,0,0,Benign
41918,80,6,7.0,2869,22,4812,20,27,27,27,4294764,203,203,63,63,987,52,52,987,2869.0,4812.0,431,1,0,0,112000,184000,33,0,5,4,0,26883,26847,44800,175,0,0,0,0,1,DoS attacks-Hulk
58121,53,17,5.178,111,1,193,1,0,0,0,0,0,0,128,128,193,111,111,193,222.0,193.0,0,0,0,0,1776000,1544000,2,1,0,0,0,0,0,0,0,11208,28,43,0,0,Benign
50064,53,17,0.0,54,1,136,1,0,0,0,0,0,0,0,0,136,54,54,136,54.0,136.0,0,0,0,0,432000,1088000,1,1,0,0,0,0,0,0,0,32263,28,60,0,0,Benign
61161,53,17,5.126,71,1,99,1,0,0,0,0,0,0,0,0,99,71,71,99,71.0,99.0,0,0,0,0,568000,792000,2,0,0,0,0,0,0,0,0,33823,28,60,0,0,Benign
51215,53,17,0.0,118,2,182,2,0,0,0,0,0,0,128,128,91,59,59,91,118.0,182.0,0,0,0,0,944000,1456000,4,0,0,0,0,0,0,0,0,18475,1,60,0,0,Benign
51703,443,6,91.239,1366,17,4300,14,27,27,27,0,0,0,128,128,1470,40,40,1470,1366.0,4300.0,0,0,0,0,10928000,34400000,24,3,2,0,2,8192,42780,0,0,0,0,0,0,0,Benign
