L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,Label,Attack
1153,443,6,2,864647,2519865,1729,3668,25,81,20,6300,3977,2323,123,128,612,275,124,943,399978.5714285714,137245.55555555556,696,125,169,184,368017.5746722855,126278.70615595186,230,786,2449,1921,8,53561,19662,0,0,48559.0,1,8508,220.0,0,Benign
15448,3389,6,0,1368810,324318,3208,323,2,103,9,17348,7826,9522,64,64,893,334,284,1455,18694.83513949735,78903.0435785105,3780,90,2093,56,16980.446617495207,71667.33001095719,1223,694,1123,484,4,51682,61012,0,0,41411.0,2,1932,230.0,0,Benign
42742,80,6,1,1070207,1962517,1529,4179,2,23,239,47300,16582,30718,115,128,1131,170,758,1029,41490.84566596195,22625.940803382666,3038,126,7110,163,40621.45400363378,22151.8409393992,3460,1003,576,198,468,48736,5450,0,0,30911.0,5,63274,220.0,0,Benign
33966,53,17,3,286,1603,2,15,0,0,0,262,130,132,28,32,764,103,210,934,6118.320610687023,1091.6030534351144,4283,82,4238,1,6705.21637601729,1196.3143378296595,4,6,1,2,1,0,0,0,0,41324.0,15,61290,220.0,0,Benign
13175,443,6,2,1450941,1976032,2192,2086,25,184,63,5623,1999,3624,128,128,798,150,505,1252,351419.526942913,258036.81308909837,1564,91,2883,109,359696.5887164793,264114.4111678744,751,474,456,1701,893,49304,13252,0,0,23889.0,28,9715,230.0,0,Benign
60451,25,6,6,248169,264012,285,222,2,175,88,211344,67987,143357,249,255,733,255,586,1126,1249.2050874403817,1174.2419940949353,5091,84,6667,180,1187.4567742262004,1116.1991129302528,44,31,15,282,133,32629,31280,0,0,23041.0,28,51348,430.0,0,Benign
51395,3389,6,7,1287859,212585,1389,243,25,247,203,422703,265410,157293,248,255,1008,245,138,1225,502.9181245460761,3046.723112918527,1461,170,913,48,476.20149278082175,2884.8713610612995,185,284,263,150,748,9434,58378,0,0,,1,72220,,0,Benign
3089,80,6,1,1485544,1830602,1342,1713,2,163,244,55449,32203,23246,19,32,1480,285,310,1451,33014.15715342026,26791.17747840358,2246,21,1177,33,33343.77306879023,27058.66268020188,361,721,553,418,999,12148,35576,0,0,,2,24061,,0,Benign
43807,80,6,1,3406116,2656392,3158,4100,18,183,34,7844,5199,2645,49,64,1445,272,105,1009,338652.728199898,434232.02447730745,3656,102,8929,0,317618.0918497791,407260.6996779852,1699,204,1476,2861,1015,37356,34618,0,0,,1,41766,,0,Benign
55086,22,6,4,1380230,2037570,1207,4423,2,188,163,203810,82658,121152,253,255,615,205,703,1000,9997.399538786123,6772.140719297385,3571,141,6981,68,10852.78618591259,7351.571272340156,454,712,2418,1518,525,31200,39937,0,0,56938.0,1,70270,230.0,0,Benign
63655,80,6,1,2099806,2038539,2403,2850,16,176,104,56049,17712,38337,253,255,691,256,203,1260,36370.65781726704,37463.75492872308,750,83,2700,193,32980.09667113732,33971.29261232391,564,1950,381,336,2020,47745,18405,0,0,62490.0,1,77495,426.0,0,Benign
58628,80,6,1,621064,146283,811,156,16,181,119,3470,1186,2284,124,128,632,375,46,1209,42156.4841498559,178980.97982708932,6603,194,2267,153,39175.92928808713,166326.63636496753,327,204,339,91,3,52576,5701,0,0,48585.0,1,80532,230.0,0,Benign
32500,53,17,3,885,3069,10,36,0,0,0,428,240,188,51,64,1434,239,632,1004,7170.560747663551,2067.7570093457944,702,154,8030,123,6509.960481752247,1877.2613314925836,13,19,5,0,6,0,0,0,0,24565.0,5,1786,426.0,0,Benign
28659,443,6,2,2581294,233439,5483,338,25,135,44,11334,4153,7181,254,255,666,238,140,1263,20596.347273689786,227747.83836244929,6633,5,7538,81,19595.847632229183,216684.63246495835,1472,44,1274,1000,2029,1707,62320,0,0,37935.0,1,1522,230.0,0,Benign
50758,80,6,1,1963933,2254888,3572,4434,16,74,171,33995,21090,12905,59,64,850,406,586,1369,66329.9897043683,57771.23106339168,3671,60,817,152,68841.6450971023,59958.7999849604,437,2263,909,864,3531,34086,63398,0,0,61174.0,28,64175,230.0,0,Benign
49919,80,6,1,1159535,1656690,1115,2036,16,98,34,53055,31520,21535,21,32,1019,352,247,940,31225.897653378568,21855.33879935916,9019,150,9068,1,29950.79518781309,20962.880984433334,252,259,968,925,744,48425,65394,0,0,56683.0,1,1400,226.0,0,Benign
48889,80,6,1,302260,769956,362,1079,16,244,93,47529,31394,16135,126,128,768,402,726,906,16199.709650949944,6359.485787624397,6635,94,7269,52,14667.34361573204,5757.928091074252,725,102,314,97,200,16254,38491,0,0,1827.0,1,25115,230.0,0,Benign
21867,32188,6,0,139,400,1,8,2,2,18,216,81,135,14,32,1308,317,776,1118,1851.851851851852,643.5185185185185,128916,2852,186109,1571,1870.1673291875484,649.883146892673,0,0,1,5,0,2847,64805,0,0,36713.0,2,47660,220.0,1,PortScan
